sexo,raca,idade1,estadocivil,renda,dif_andar,religiao,religiao2
Feminino,Negros,71,Solteiro/a,,Sem mobilidade reduzida,0,0
Masculino,Negros,86,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
Masculino,Brancos,63,Separado/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,66,,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,67,Casado/a,R$1620 a R$2600,Com mobilidade reduzida,1,0
Feminino,Brancos,77,Solteiro/a,Acima de R$4600,Com mobilidade reduzida,0,0
Feminino,Brancos,75,Casado/a,Acima de R$4600,Com mobilidade reduzida,0,0
Masculino,Negros,83,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,67,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Negros,62,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,74,Casado/a,,Sem mobilidade reduzida,0,0
Feminino,Negros,72,Casado/a,Até R$1620,Sem mobilidade reduzida,1,1
Feminino,Negros,70,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Masculino,Brancos,72,Separado/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Brancos,80,Viúvo/a,,Com mobilidade reduzida,0,0
Feminino,Negros,66,Separado/a,Até R$1620,Com mobilidade reduzida,0,0
Masculino,Negros,61,Solteiro/a,R$2600 a R$4600,Sem mobilidade reduzida,1,0
Masculino,Negros,87,,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,82,Viúvo/a,Acima de R$4600,Sem mobilidade reduzida,0,0
Masculino,Negros,64,Casado/a,,Sem mobilidade reduzida,1,0
Masculino,Negros,68,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,72,Viúvo/a,Até R$1620,Com mobilidade reduzida,1,0
Masculino,Negros,78,Solteiro/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,82,Viúvo/a,Até R$1620,Com mobilidade reduzida,0,0
Feminino,Negros,74,Separado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Masculino,Negros,63,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,84,,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Brancos,66,Casado/a,R$2600 a R$4600,Com mobilidade reduzida,0,0
Feminino,Negros,72,Viúvo/a,R$1620 a R$2600,Com mobilidade reduzida,0,0
Feminino,Brancos,68,Casado/a,R$2600 a R$4600,Sem mobilidade reduzida,0,0
Feminino,Brancos,72,Casado/a,Até R$1620,Sem mobilidade reduzida,0,0
Feminino,Negros,78,Viúvo/a,Até R$1620,Sem mobilidade reduzida,1,1
Feminino,Brancos,86,Viúvo/a,,Sem mobilidade reduzida,0,0
Masculino,Brancos,68,Casado/a,R$1620 a R$2600,Sem mobilidade reduzida,0,0
