geografia,desfecho,modelo,n,aic,log_lik,pseudo_r2_mcfadden
Belo Horizonte,Pelo menos 1,Demográfico,182,191.52584473869513,-88.76292236934756,0.08583830985631591
Belo Horizonte,Pelo menos 1,Sociodemográfico,182,195.62771206527628,-87.81385603263814,0.09561266229161125
Belo Horizonte,Pelo menos 1,Geral,182,188.8561780655765,-83.42808903278825,0.14078129876885837
Belo Horizonte,Mais de 1,Demográfico,182,120.2395250556236,-53.1197625278118,0.09544015321174737
Belo Horizonte,Mais de 1,Sociodemográfico,182,122.27459418704342,-51.13729709352171,0.12919893796846682
Belo Horizonte,Mais de 1,Geral,182,117.35738093285985,-47.67869046642993,0.18809447009862246
RMBH,Pelo menos 1,Demográfico,347,351.97189504013346,-168.98594752006673,0.05337987096677821
RMBH,Pelo menos 1,Sociodemográfico,347,357.50725158942805,-168.75362579471403,0.05468128345023038
RMBH,Pelo menos 1,Geral,347,353.8531875399191,-165.92659376995954,0.07051766191440034
RMBH,Mais de 1,Demográfico,347,170.57540668960704,-78.28770334480352,0.1028298228806015
RMBH,Mais de 1,Sociodemográfico,347,171.6958892747693,-75.84794463738466,0.13078924253585777
RMBH,Mais de 1,Geral,347,170.15166652467167,-74.07583326233583,0.15109748263360978
