id_deslocamento,dia_codigo,mesmo_bairro,tempo_minutos,modo_transporte,companhia_original,companhia,dia
1,sab,1,5.0,A pé,Outra,Outro,Sábado
2,quar,1,15.0,A pé,Sozinho,Sozinho,Quarta-feira
3,quar,1,15.0,A pé,Sozinho,Sozinho,Quarta-feira
4,sab,1,15.0,A pé,Outra,Outro,Sábado
5,sab,1,15.0,A pé,Outra,Outro,Sábado
6,dom,1,15.0,A pé,Familiar residente não pago,Familiar corresidente,Domingo
7,dom,1,15.0,A pé,Familiar residente não pago,Familiar corresidente,Domingo
8,dom,0,20.0,Carro próprio,Sozinho,Sozinho,Domingo
9,dom,0,15.0,Carro próprio,Familiar residente não pago,Familiar corresidente,Domingo
10,dom,1,20.0,A pé,Sozinho,Sozinho,Domingo
11,ter,1,15.0,A pé,Sozinho,Sozinho,Terça-feira
12,quin,1,15.0,A pé,Sozinho,Sozinho,Quinta-feira
13,ter,1,15.0,A pé,Sozinho,Sozinho,Terça-feira
14,dom,1,15.0,A pé,Sozinho,Sozinho,Domingo
15,quar,0,10.0,Carro de carona,Familiar externo não pago,Familiar não corresidente,Quarta-feira
16,sab,1,10.0,A pé,Outra,Outro,Sábado
17,dom,1,10.0,A pé,Sozinho,Sozinho,Domingo
18,dom,1,10.0,Carro de carona,Familiar residente não pago,Familiar corresidente,Domingo
19,dom,0,15.0,Carro de carona,Familiar residente não pago,Familiar corresidente,Domingo
20,dom,0,10.0,Carro de carona,Outra pessoa não remunerada,Outro,Domingo
21,dom,1,10.0,A pé,Familiar residente não pago,Familiar corresidente,Domingo
22,dom,1,3.0,A pé,Sozinho,Sozinho,Domingo
23,dom,1,5.0,A pé,Sozinho,Sozinho,Domingo
24,quar,1,5.0,Carro próprio,Sozinho,Sozinho,Quarta-feira
25,dom,1,5.0,Carro próprio,Sozinho,Sozinho,Domingo
26,dom,1,5.0,Carro próprio,Sozinho,Sozinho,Domingo
27,seg,0,20.0,Transporte de aplicativo,Sozinho,Sozinho,Segunda-feira
28,sex,1,2.0,A pé,Sozinho,Sozinho,Sexta-feira
29,dom,1,10.0,Carro próprio,Sozinho,Sozinho,Domingo
30,quar,1,7.0,A pé,Sozinho,Sozinho,Quarta-feira
31,dom,1,6.0,A pé,Familiar externo não pago,Familiar não corresidente,Domingo
32,dom,1,10.0,A pé,Familiar residente não pago,Familiar corresidente,Domingo
33,dom,1,20.0,A pé,Sozinho,Sozinho,Domingo
34,quin,1,10.0,A pé,Sozinho,Sozinho,Quinta-feira
35,sab,1,10.0,A pé,Familiar externo pago,Familiar não corresidente,Sábado
