id_estabelecimento,cod_setor,latitude,longitude,dsc_estabe,categoria_original,confissao
1,310620060660224P,-19.841435,-43.942187,CAPELA SAO PEDRO,CATÓLICA,Católica
2,310620005680136P,-19.891195,-43.978761,CAPELA SAO GERALDO,CATÓLICA,Católica
3,310620005660001P,-19.847148,-43.948855,CAPELA NOSSA SENHORA SAS GRACAS,CATÓLICA,Católica
4,310620025610062P,-20.002895,-44.002711,CAPELA SANTO AGOSTINHO,CATÓLICA,Católica
5,310620005650053P,-19.91232,-43.990744,CAPELA NOSSA SENHORA APARECIDA E BOM PASTOR,CATÓLICA,Católica
6,310620005630382P,-19.929989,-43.879889,CAPELA NOSSA SENHORA DA PENHA,CATÓLICA,Católica
7,310620005670238P,-19.945025,-43.963654,CAPELA DA IGREJA CATOLICA,CATÓLICA,Católica
8,310620005630028P,-19.907783,-43.89573,CAPELA CASA DE FORMACAO,CATÓLICA,Católica
9,310620025610079P,-20.01059,-44.037977,CAPELA NOSSA SENHORA APARECIDA,CATÓLICA,Católica
10,310620005640135P,-19.902589,-43.934612,CAPELA NOSSA SENHORA DAS GRACAS,CATÓLICA,Católica
11,310620005670042P,-19.949235,-43.97649,CAPELA SAO PEDRO,CATÓLICA,Católica
12,310620005680399P,-19.829621,-44.009608,CAPELA SAGRADO CORACAO DE JESUS,CATÓLICA,Católica
13,310620005630385P,-19.928552,-43.905066,CAPELA SAO JUDAS TADEU,CATÓLICA,Católica
14,310620005680222P,-19.869115,-44.009557,CAPELA SAO VICENTE DE PAULO,CATÓLICA,Católica
15,310620005680078P,-19.872345,-44.007075,CAPELA,CATÓLICA,Católica
16,310620005680124P,-19.867063,-43.944453,CAPELA,CATÓLICA,Católica
17,310620060660053P,-19.844077,-43.939228,CAPELA NOSSA SENHORA DA EUCARISTIA,CATÓLICA,Católica
18,310620005680107P,-19.854455,-43.95283,CAPELA NOSSA SENHORA DO ROSARIO,CATÓLICA,Católica
19,310620005680124P,-19.867226,-43.944561,CAPELA,CATÓLICA,Católica
20,310620005620183P,-19.920203,-43.940287,CAPELA NOSSA SENHORA DO ROSARIO,CATÓLICA,Católica
21,310620005650148P,-19.899309,-43.959521,CAPELA DE SANTA LUZIA,CATÓLICA,Católica
22,310620005670006P,-19.956821,-43.987108,CAPELA VILLAREGIO,CATÓLICA,Católica
23,310620060660391P,-19.802075,-43.911073,CAPELA NOSSA SENHORA DA ESPERANCA,CATÓLICA,Católica
24,310620005630247P,-19.911556,-43.933136,CAPELA NOSSA SRA LIBANO,CATÓLICA,Católica
25,310620005660001P,-19.84749,-43.948744,CAPELA DA COMUNIDADE NOSSA SENHORA DAS GRACAS,CATÓLICA,Católica
26,310620005680321P,-19.900458,-43.98495,CAPELA DE NOSSA SENHORA APARECIDA,CATÓLICA,Católica
27,310620060690269P,-19.813266,-43.963156,CAPELA SAO VICENTE DE PAULO,CATÓLICA,Católica
28,310620060690239P,-19.817594,-43.954157,CAPELA DO SANTISSIMO CRUCIFIXO,CATÓLICA,Católica
