code_tract,populacao
310620005620001,467
310620005620002,448
310620005620004,675
310620005620005,314
310620005620006,334
310620005620007,504
310620005620008,554
310620005620010,351
310620005620011,369
310620005620012,416
310620005620013,557
310620005620014,275
310620005620015,159
310620005620016,317
310620005620017,583
310620005620021,575
310620005620022,381
310620005620023,384
310620005620024,395
310620005620025,529
310620005620026,436
310620005620028,557
310620005620029,312
310620005620031,347
310620005620032,653
310620005620034,474
310620005620036,392
310620005620039,505
310620005620040,388
310620005620041,473
310620005620045,559
310620005620047,556
310620005620048,254
310620005620052,136
310620005620053,458
310620005620057,324
310620005620058,464
310620005620060,507
310620005620062,544
310620005620064,488
310620005620066,531
310620005620067,408
310620005620068,502
310620005620069,545
310620005620070,335
310620005620071,462
310620005620073,547
310620005620074,434
310620005620075,426
310620005620076,468
310620005620077,329
310620005620078,352
310620005620079,557
310620005620081,578
310620005620082,303
310620005620085,535
310620005620086,466
310620005620087,421
310620005620088,292
310620005620089,354
310620005620091,413
310620005620092,286
310620005620094,322
310620005620095,340
310620005620097,454
310620005620098,359
310620005620099,721
310620005620100,566
310620005620101,702
310620005620102,501
310620005620103,707
310620005620104,412
310620005620105,616
310620005620106,592
310620005620107,138
310620005620108,578
310620005620109,908
310620005620110,339
310620005620113,416
310620005620114,587
310620005620115,653
310620005620116,438
310620005620117,222
310620005620118,443
310620005620119,311
310620005620120,559
310620005620122,321
310620005620123,338
310620005620124,519
310620005620125,627
310620005620126,410
310620005620127,511
310620005620129,679
310620005620130,541
310620005620131,624
310620005620132,389
310620005620133,403
310620005620134,599
310620005620135,327
310620005620136,595
310620005620137,307
310620005620138,470
310620005620139,553
310620005620140,412
310620005620141,790
310620005620143,689
310620005620144,423
310620005620145,758
310620005620146,366
310620005620147,733
310620005620149,513
310620005620151,574
310620005620153,237
310620005620154,337
310620005620155,408
310620005620156,504
310620005620157,178
310620005620158,424
310620005620159,547
310620005620160,363
310620005620163,382
310620005620164,446
310620005620165,374
310620005620167,38
310620005620168,487
310620005620169,145
310620005620170,217
310620005620171,212
310620005620172,439
310620005620173,0
310620005620174,209
310620005620175,165
310620005620176,310
310620005620178,275
310620005620181,531
310620005620182,507
310620005620183,484
310620005620185,443
310620005620187,463
310620005620188,467
310620005620189,418
310620005620190,466
310620005620191,419
310620005620192,620
310620005620193,415
310620005620195,724
